event_id,name,host_org_id,event_type,start_date,start_time,end_date,city,county,location,registration_url,eligibility,trade_categories,status,verified_as_of,source_id,notes
EVT-RISING-20260917,Rising Sun Women Building the Bay Info Session,ORG-RISING,mandatory_info_session,2026-09-17,12:00,2026-09-17,Oakland,Alameda,"Oakland",https://risingsunopp.org/programs/opportunity-build/,Prospective Women Building the Bay applicants,multi_craft;construction,upcoming,2026-09-12,SRC-RISING-OB,Arrive 30 minutes early; attendance required to schedule interview.
EVT-WWC-20260924,Working Waterfront Coalition Information Session,ORG-TRADESWOMEN,career_info_session,2026-09-24,08:21,2026-09-24,online_or_TBD,Regional,See registration form,https://forms.office.com/r/X4B6r6sTVJ,People interested in maritime careers,maritime;industrial;waterfront,upcoming_verify_details,2026-09-12,SRC-TRADESWOMEN-EVENTS,"Event copy references an August cohort, so confirm current session scope after registering."
EVT-EBMUD-20260925,EBMUD Trades in Action Job Fair,ORG-EBMUD,job_fair,2026-09-25,08:00,2026-09-25,Oakland,Alameda,"Adeline Maintenance Center, Oakland",https://tradeswomen.org/event/ebmud-trades-action-job-fair,"Job seekers interested in electrical, instrumentation, machinist and related utility careers",electrical;instrumentation;machinist;utility,upcoming_registration_closed,2026-09-12,SRC-TRADESWOMEN-EVENTS,"Event is upcoming, but listed registration deadline was 2026-09-04. Contact host before attending."
EVT-INSULATORS-SHOWCASE-20260930,Heat & Frost Insulators Local 16 Apprenticeship Showcase,ORG-INSULATORS16,apprenticeship_showcase,2026-09-30,09:00,2026-09-30,Benicia,Nearby,"Benicia",https://insulators16.eventbrite.com/,Prospective insulation apprenticeship applicants,mechanical_insulation,upcoming,2026-09-12,SRC-TRADESWOMEN-EVENTS,Outside the two target counties but directly feeds a union serving both.
EVT-CTWI-MATH-20261010,Construction Test Prep Classes,ORG-CTWI,test_prep,2026-10-10,,2026-10-10,Oakland_and_other_Bay_Area_sites,Alameda_and_nearby,"Online or in person; Oakland, Martinez, Richmond, Vallejo and Benicia listed",https://ctwi.org/,Anyone preparing for skilled-trades entrance exams,construction_math;multi_craft,upcoming_verify_details,2026-09-12,SRC-TRADESWOMEN-EVENTS,Contact CTWI for exact time and registration.
EVT-INSULATORS-APPLY-20261012,Heat & Frost Insulators Local 16 Application Day,ORG-INSULATORS16,apprenticeship_application,2026-10-12,08:00,2026-10-12,Benicia,Nearby,Confirm with Local 16,http://www.insulators16.org/,Program-specific apprenticeship requirements,mechanical_insulation,upcoming,2026-09-12,SRC-TRADESWOMEN-EVENTS,Listed 8:00am-4:50pm and described as the quarterly application date.
EVT-UA467-20261014,UA Local 467 Apprenticeship Application Event,ORG-TRADESWOMEN,apprenticeship_application,2026-10-14,09:00,2026-10-14,Burlingame,Nearby,"Burlingame",https://tradeswomen.org/event/apprenticeship-program-plumbers-steamfitters-ua-467,Program-specific apprenticeship requirements,plumbing;pipefitting;steamfitting,upcoming,2026-09-12,SRC-TRADESWOMEN-EVENTS,Outside target counties but accessible to many SF residents.
EVT-WWC-20261022,Working Waterfront Coalition Information Session,ORG-TRADESWOMEN,career_info_session,2026-10-22,08:21,2026-10-22,online_or_TBD,Regional,See registration form,https://forms.office.com/r/X4B6r6sTVJ,People interested in maritime careers,maritime;industrial;waterfront,upcoming_verify_details,2026-09-12,SRC-TRADESWOMEN-EVENTS,Recurring biweekly listing; confirm time and cohort relevance.
EVT-CYPRESS-20261208,Cypress Mandela Orientation,ORG-CYPRESS,mandatory_orientation,2026-12-08,09:00,2026-12-08,Oakland,Alameda,"Oakland",https://www.cypressmandela.org/apply,Age 18+; bring original eligibility documents; interview and physical agility,multi_craft;construction,upcoming,2026-09-12,SRC-CYPRESS-APPLY,Doors open 8:30am; next cohort begins 2027-01-11.
EVT-WWC-20261203,Working Waterfront Coalition Information Session,ORG-TRADESWOMEN,career_info_session,2026-12-03,08:21,2026-12-03,online_or_TBD,Regional,See registration form,https://forms.office.com/r/X4B6r6sTVJ,People interested in maritime careers,maritime;industrial;waterfront,upcoming_verify_details,2026-09-12,SRC-TRADESWOMEN-EVENTS,Recurring listing; confirm current cohort details.
EVT-BACWC-ANNUAL,Bay Area Construction Workforce Conference,ORG-CTWI,industry_conference,2026-09-03,,2026-09-03,Oakland,Alameda,Historical 2026 event; next date TBD,https://ctwi.org/,"Workforce providers, unions, contractors and industry partners",construction_workforce,past_monitor_annual,2026-09-12,SRC-CTWI-EMPLOYERS,High-value employer/workforce graph source; monitor for 2027 announcement.
