source_id,name,source_type,coverage,primary_url,what_it_contains,key_fields,access_method,recommended_ingestion,refresh_cadence,robots_or_terms_note,pii_risk,priority,last_verified,confidence,notes
SRC-CYPRESS-APPLY,Cypress Mandela Apply / Orientation,program_page,Bay Area,https://www.cypressmandela.org/apply,Orientation date; cohort date; eligibility documents; schedule; contact,next_orientation;cohort_start;eligibility;address;phone;email,public_html,weekly HTML extraction plus manual check 7 days before event,weekly,Respect robots and site terms; cache page hash,low on page; high if following applicant forms,P1,2026-09-12,high,Do not ingest applicant responses.
SRC-WOJRC,West Oakland Job Resource Center,organization_page,Oakland/Alameda,https://www.wojrc.org/,Services; employer referrals; local-hire support; contact,services;address;phone;email,public_html,monthly organization refresh,monthly,Public organization page,low,P1,2026-09-12,high,Use separate source for interest form.
SRC-WOJRC-INTEREST,WOJRC Job-Seeker Interest Form,intake_form,Oakland/Alameda,https://wojrc.tfaforms.net/f/interest?campID=701Kc000000oyEl,Applicant intake entry point,link_only,public_form,store only the URL and program metadata; never scrape submissions,monthly link check,No automated submission; no collection without consent,high,P1,2026-09-12,high,Explicit privacy boundary.
SRC-CITYBUILD-ACADEMY,CityBuild Academy Application Page,government_program_page,San Francisco,https://www.sf.gov/apply-train-career-construction,Eligibility; 12-week format; application workflow; contact,eligibility;duration;application_url;contact,public_html,weekly during recruitment seasons; monthly otherwise,weekly_or_monthly,Official SF.gov page,low on page; high after form handoff,P1,2026-09-12,high,Interest form does not guarantee selection.
SRC-CITYBUILD-ENS,CityBuild Employment Network Services,government_program_page,San Francisco,https://www.sf.gov/step-by-step--get-help-finding-construction-work,Worker eligibility; referral process; contact,union_status;residency;driver_license;contact,public_html,monthly,monthly,Official SF.gov page,low on page; high in worker database,P1,2026-09-12,high,Direct job-referral route for current union workers.
SRC-MHH-CITYBUILD,Mission Hiring Hall CityBuild Academy,partner_program_page,San Francisco,https://missionhiringhall.org/jobseekers/citybuild-academy/,CityBuild partner intake and program description,program;location;contact,public_html,monthly,monthly,Public nonprofit page,low,P1,2026-09-12,high,Cross-check dates with SF.gov.
SRC-RISING-OB,Rising Sun Opportunity Build,program_page,Alameda and Bay Area,https://risingsunopp.org/programs/opportunity-build/,Cohorts; info sessions; eligibility; certifications; stipend; contact,cohort_dates;info_sessions;eligibility;certifications;stipend,public_html,weekly while applications active,weekly,Public nonprofit page,low on page,P1,2026-09-12,high,High-value structured intake source.
SRC-TRADESWOMEN-EVENTS,Tradeswomen Upcoming Events,event_aggregator,Bay Area/California,https://tradeswomen.org/events,Job fairs; apprenticeship dates; test prep; workforce events,event_name;date;time;location;event_url;registration_url,public_html,daily; filter geography; verify referenced dates and registration status,daily,Respect site terms; rate limit,low,P1,2026-09-12,high_for_listing_medium_for_host_status,Event copy can carry stale cohort language; keep verification flags.
SRC-TRADESWOMEN-JOBS,Tradeswomen Job Postings,job_aggregator,California with Bay Area concentration,https://tradeswomen.org/job-postings,Trades job leads and application links,title;posted_date;salary;deadline;apply_url,public_html,daily; parse deadline; confirm employer page before marking active,daily,Respect site terms; do not assume listing removal on expiry,low,P1,2026-09-12,medium,"Two recent SF posts were already expired, proving the need for deadline logic."
SRC-CTWI-CAREERS,CTWI Union Construction Careers,apprenticeship_opening_tracker,Bay Area,https://ctwi.org/union-construction-careers/,Union/JATC application status and windows by trade,trade;union;status;application_dates;program_url,public_html,daily or weekly; contact JATC for confirmation,weekly,Public nonprofit page,low,P1,2026-09-12,medium_high,Consolidates many unions; some entries retain older dates.
